asset,case,status,note
assets/cases/alita-hero.webp,alita,UNCONFIRMED,Ian: portfolio use OK?
assets/cases/alita-work-01.webp,alita,UNCONFIRMED,
assets/cases/alita-work-02.webp,alita,UNCONFIRMED,
assets/cases/atlantic-hero-poster.webp,atlantic,UNCONFIRMED,
assets/cases/atlantic-work-01.webp,atlantic,UNCONFIRMED,
assets/cases/cuervo-hero-poster.webp,cuervo,UNCONFIRMED,
assets/cases/cuervo-work-01.webp,cuervo,UNCONFIRMED,
assets/cases/cuervo-work-02.webp,cuervo,UNCONFIRMED,
assets/cases/moneylion-hero.webp,moneylion,UNCONFIRMED,
assets/cases/moneylion-work-01.webp,moneylion,UNCONFIRMED,
assets/cases/nike-hero.webp,nike,UNCONFIRMED,
assets/cases/nike-work-01.webp,nike,UNCONFIRMED,
assets/cases/nike-work-02.webp,nike,UNCONFIRMED,
assets/cases/outdoor-voices-hero.webp,outdoor-voices,UNCONFIRMED,
assets/cases/outdoor-voices-work-01.webp,outdoor-voices,UNCONFIRMED,
assets/cases/outdoor-voices-work-02.webp,outdoor-voices,UNCONFIRMED,
assets/cases/porsche-hero.webp,porsche,UNCONFIRMED,
assets/cases/porsche-work-01.webp,porsche,UNCONFIRMED,
assets/cases/porsche-work-02.webp,porsche,UNCONFIRMED,
assets/cases/scooba-hero.svg,scooba,LIKELY_OK,confirm Katerina and Weston are fine being credited
assets/cases/selsun-hero.webp,selsun,UNCONFIRMED,
assets/cases/selsun-work-01.webp,selsun,UNCONFIRMED,
assets/cases/virgin-hero.webp,virgin,UNCONFIRMED,
assets/cases/virgin-work-01.webp,virgin,UNCONFIRMED,
assets/cases/virgin-work-02.webp,virgin,UNCONFIRMED,
assets/cases/virgin-work-03.webp,virgin,UNCONFIRMED,
assets/work-panorama-physical-v2.webp,work-plate,UNCONFIRMED,client art baked in
assets/more-work-panorama-five-v1.webp,more-plate,UNCONFIRMED,contains Stella Artois art: must not ship
assets/hearsay/,hearsay,UNCONFIRMED,Coming to America still + Gore Vidal photo; also: Gore Vidal attributed quote = false-endorsement question for Ian
